STNAM,FIPST,LEAID,leanm11,ALL_MTH04numvalid_1112,ALL_MTH04pctprof_1112,ECD_MTH04numvalid_1112,ECD_MTH04pctprof_1112,HOM_MTH04numvalid_1112,HOM_MTH04pctprof_1112,ALL_MTH08numvalid_1112,ALL_MTH08pctprof_1112,ECD_MTH08numvalid_1112,ECD_MTH08pctprof_1112,HOM_MTH08numvalid_1112,HOM_MTH08pctprof_1112
WASHINGTON,53,5307260,Republic School District,25.0,50.0,15.0,25.0,,,23.0,30.0,11.0,25.0,,
WASHINGTON,53,5307320,Richland School District,815.0,68.0,298.0,52.0,2.0,,860.0,60.0,241.0,37.0,,
WASHINGTON,53,5307350,Ridgefield School District,172.0,77.0,73.0,62.0,3.0,,172.0,67.0,66.0,57.0,3.0,
WASHINGTON,53,5307380,Ritzville School District,30.0,50.0,17.0,50.0,2.0,,25.0,50.0,9.0,25.0,,
WASHINGTON,53,5307440,Riverside School District,125.0,62.0,74.0,52.0,,,115.0,42.0,62.0,37.0,,
WASHINGTON,53,5307470,Rochester School District,135.0,57.0,73.0,52.0,3.0,,155.0,57.0,81.0,47.0,7.0,25.0
WASHINGTON,53,5307530,Roosevelt School District,5.0,,,,,,,,,,,
WASHINGTON,53,5307560,Rosalia School District,11.0,25.0,8.0,25.0,,,16.0,50.0,12.0,25.0,,
WASHINGTON,53,5307620,Royal School District,115.0,57.0,114.0,57.0,12.0,25.0,126.0,52.0,125.0,52.0,11.0,25.0
WASHINGTON,53,5307650,San Juan Island School District,65.0,82.0,25.0,70.0,,,62.0,77.0,22.0,50.0,,
WASHINGTON,53,5307680,Satsop School District,6.0,25.0,1.0,,,,,,,,,
WASHINGTON,53,5307710,Seattle Public Schools,3747.0,67.0,1626.0,46.0,122.0,32.0,3132.0,65.0,1387.0,47.0,104.0,27.0
WASHINGTON,53,5307740,Sedro-Woolley School District,281.0,32.0,181.0,32.0,14.0,25.0,269.0,57.0,134.0,42.0,7.0,25.0
WASHINGTON,53,5307770,Selah School District,293.0,62.0,154.0,47.0,1.0,,248.0,67.0,101.0,52.0,,
WASHINGTON,53,5307800,Selkirk School District,17.0,70.0,11.0,25.0,4.0,,30.0,70.0,12.0,25.0,2.0,
WASHINGTON,53,5307830,Sequim School District,190.0,62.0,101.0,52.0,6.0,25.0,242.0,57.0,105.0,47.0,2.0,
WASHINGTON,53,5307860,Shaw Island School District,3.0,,,,,,,,,,,
