"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Arizona","2013","O","Elementary-secondary education school system total expenditure other","State and Local ","199950"
"Annual Survey of School System Finance","Arizona","2014","O","Elementary-secondary education school system total expenditure other","State and Local ","200829"
"Annual Survey of School System Finance","Arizona","2015","O","Elementary-secondary education school system total expenditure other","State and Local ","182849"
"Annual Survey of School System Finance","Arizona","2016","O","Elementary-secondary education school system total expenditure other","State and Local ","179801"
"Annual Survey of School System Finance","Arizona","2017","O","Elementary-secondary education school system total expenditure other","State and Local ","181586"
"Annual Survey of School System Finance","Arizona","2018","O","Elementary-secondary education school system total expenditure other","State and Local ","195063"
"Annual Survey of School System Finance","Arizona","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2845535"
"Annual Survey of School System Finance","Arizona","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2934165"
"Annual Survey of School System Finance","Arizona","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3182285"
"Annual Survey of School System Finance","Arizona","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3232013"
"Annual Survey of School System Finance","Arizona","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3440726"
"Annual Survey of School System Finance","Arizona","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3446191"
"Annual Survey of School System Finance","Arizona","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3579887"
"Annual Survey of School System Finance","Arizona","2012","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","8054662"
"Annual Survey of School System Finance","Arizona","2013","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","7594979"
"Annual Survey of School System Finance","Arizona","2014","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","8101041"
"Annual Survey of School System Finance","Arizona","2015","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","7885928"
"Annual Survey of School System Finance","Arizona","2016","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","7984562"
"Annual Survey of School System Finance","Arizona","2017","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","8386627"
"Annual Survey of School System Finance","Arizona","2018","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","8656253"
"Annual Survey of School System Finance","Arizona","2012","TOTREV","Elementary-secondary education school system total revenue","State and Local ","7869244"
"Annual Survey of School System Finance","Arizona","2013","TOTREV","Elementary-secondary education school system total revenue","State and Local ","8097916"
"Annual Survey of School System Finance","Arizona","2014","TOTREV","Elementary-secondary education school system total revenue","State and Local ","8293591"
"Annual Survey of School System Finance","Arizona","2015","TOTREV","Elementary-secondary education school system total revenue","State and Local ","8159132"
"Annual Survey of School System Finance","Arizona","2016","TOTREV","Elementary-secondary education school system total revenue","State and Local ","8430089"
