"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Arizona","2017","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","292205"
"Annual Survey of School System Finance","Arizona","2018","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","291108"
"Annual Survey of School System Finance","Arizona","2012","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","134563"
"Annual Survey of School System Finance","Arizona","2013","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","131249"
"Annual Survey of School System Finance","Arizona","2014","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","133308"
"Annual Survey of School System Finance","Arizona","2015","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","122666"
"Annual Survey of School System Finance","Arizona","2016","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","129527"
"Annual Survey of School System Finance","Arizona","2017","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","141427"
"Annual Survey of School System Finance","Arizona","2018","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","147086"
"Annual Survey of School System Finance","Arizona","2012","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","431550"
"Annual Survey of School System Finance","Arizona","2013","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","445817"
"Annual Survey of School System Finance","Arizona","2014","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","498960"
"Annual Survey of School System Finance","Arizona","2015","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","278802"
"Annual Survey of School System Finance","Arizona","2016","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","275140"
"Annual Survey of School System Finance","Arizona","2017","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","274674"
"Annual Survey of School System Finance","Arizona","2018","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","300571"
"Annual Survey of School System Finance","Arizona","2012","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2013","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2014","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2015","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2016","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2017","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2018","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2012","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","4587"
"Annual Survey of School System Finance","Arizona","2013","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","4339"
"Annual Survey of School System Finance","Arizona","2014","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2015","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2016","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2017","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2018","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2012","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","3013054"
"Annual Survey of School System Finance","Arizona","2013","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","3016347"
"Annual Survey of School System Finance","Arizona","2014","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","2981634"
"Annual Survey of School System Finance","Arizona","2015","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","3057329"
"Annual Survey of School System Finance","Arizona","2016","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","3051544"
"Annual Survey of School System Finance","Arizona","2017","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","3183793"
"Annual Survey of School System Finance","Arizona","2018","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","3286224"
"Annual Survey of School System Finance","Arizona","2012","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","96322"
"Annual Survey of School System Finance","Arizona","2013","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","89341"
"Annual Survey of School System Finance","Arizona","2014","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","89740"
"Annual Survey of School System Finance","Arizona","2015","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","84562"
"Annual Survey of School System Finance","Arizona","2016","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","82831"
"Annual Survey of School System Finance","Arizona","2017","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","82986"
"Annual Survey of School System Finance","Arizona","2018","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","84523"
"Annual Survey of School System Finance","Arizona","2012","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","1689"
"Annual Survey of School System Finance","Arizona","2013","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","3617"
"Annual Survey of School System Finance","Arizona","2014","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","2128"
"Annual Survey of School System Finance","Arizona","2015","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","1636"
"Annual Survey of School System Finance","Arizona","2016","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","1672"
"Annual Survey of School System Finance","Arizona","2017","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","1977"
"Annual Survey of School System Finance","Arizona","2018","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","1940"
"Annual Survey of School System Finance","Arkansas","2012","LS","Elementary-secondary education school system revenue from local sources","State and Local ","662172"
"Annual Survey of School System Finance","Arkansas","2013","LS","Elementary-secondary education school system revenue from local sources","State and Local ","631643"
"Annual Survey of School System Finance","Arkansas","2014","LS","Elementary-secondary education school system revenue from local sources","State and Local ","615902"
"Annual Survey of School System Finance","Arkansas","2015","LS","Elementary-secondary education school system revenue from local sources","State and Local ","636087"
"Annual Survey of School System Finance","Arkansas","2016","LS","Elementary-secondary education school system revenue from local sources","State and Local ","668082"
"Annual Survey of School System Finance","Arkansas","2017","LS","Elementary-secondary education school system revenue from local sources","State and Local ","727116"
"Annual Survey of School System Finance","Arkansas","2018","LS","Elementary-secondary education school system revenue from local sources","State and Local ","744734"
"Annual Survey of School System Finance","Arkansas","2012","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","9335"
"Annual Survey of School System Finance","Arkansas","2013","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","8870"
"Annual Survey of School System Finance","Arkansas","2014","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","15609"
"Annual Survey of School System Finance","Arkansas","2015","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","9482"
"Annual Survey of School System Finance","Arkansas","2016","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","10522"
"Annual Survey of School System Finance","Arkansas","2017","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","11804"
"Annual Survey of School System Finance","Arkansas","2018","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","11191"
"Annual Survey of School System Finance","Arkansas","2012","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","85609"
"Annual Survey of School System Finance","Arkansas","2013","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","90409"
"Annual Survey of School System Finance","Arkansas","2014","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","93930"
"Annual Survey of School System Finance","Arkansas","2015","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","94836"
"Annual Survey of School System Finance","Arkansas","2016","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","99143"
"Annual Survey of School System Finance","Arkansas","2017","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","100020"
"Annual Survey of School System Finance","Arkansas","2018","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","99866"
"Annual Survey of School System Finance","Arkansas","2012","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","80698"
"Annual Survey of School System Finance","Arkansas","2013","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","70815"
"Annual Survey of School System Finance","Arkansas","2014","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","86678"
"Annual Survey of School System Finance","Arkansas","2015","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","78915"
"Annual Survey of School System Finance","Arkansas","2016","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","96640"
"Annual Survey of School System Finance","Arkansas","2017","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","109398"
