"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Arizona","2017","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","330708"
"Annual Survey of School System Finance","Arizona","2018","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","326386"
"Annual Survey of School System Finance","Arizona","2012","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","258794"
"Annual Survey of School System Finance","Arizona","2013","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","196522"
"Annual Survey of School System Finance","Arizona","2014","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","180609"
"Annual Survey of School System Finance","Arizona","2015","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","140599"
"Annual Survey of School System Finance","Arizona","2016","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","201802"
"Annual Survey of School System Finance","Arizona","2017","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","194815"
"Annual Survey of School System Finance","Arizona","2018","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","194623"
"Annual Survey of School System Finance","Arizona","2012","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","173710"
"Annual Survey of School System Finance","Arizona","2013","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","171948"
"Annual Survey of School System Finance","Arizona","2014","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","154114"
"Annual Survey of School System Finance","Arizona","2015","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","150378"
"Annual Survey of School System Finance","Arizona","2016","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","149127"
"Annual Survey of School System Finance","Arizona","2017","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","156336"
"Annual Survey of School System Finance","Arizona","2018","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","162716"
"Annual Survey of School System Finance","Arizona","2012","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","307531"
"Annual Survey of School System Finance","Arizona","2013","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","327711"
"Annual Survey of School System Finance","Arizona","2014","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","302161"
"Annual Survey of School System Finance","Arizona","2015","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","301180"
"Annual Survey of School System Finance","Arizona","2016","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","307313"
"Annual Survey of School System Finance","Arizona","2017","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","291727"
"Annual Survey of School System Finance","Arizona","2018","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","284174"
"Annual Survey of School System Finance","Arizona","2012","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","1038954"
"Annual Survey of School System Finance","Arizona","2013","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","1012160"
"Annual Survey of School System Finance","Arizona","2014","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","961489"
"Annual Survey of School System Finance","Arizona","2015","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","924722"
"Annual Survey of School System Finance","Arizona","2016","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","1002365"
"Annual Survey of School System Finance","Arizona","2017","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","994678"
"Annual Survey of School System Finance","Arizona","2018","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","989954"
"Annual Survey of School System Finance","Arizona","2012","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","16481"
"Annual Survey of School System Finance","Arizona","2013","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","18500"
"Annual Survey of School System Finance","Arizona","2014","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","15420"
"Annual Survey of School System Finance","Arizona","2015","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","18621"
"Annual Survey of School System Finance","Arizona","2016","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","17136"
"Annual Survey of School System Finance","Arizona","2017","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","21092"
"Annual Survey of School System Finance","Arizona","2018","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","22055"
"Annual Survey of School System Finance","Arkansas","2012","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","666267"
"Annual Survey of School System Finance","Arkansas","2013","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","572096"
"Annual Survey of School System Finance","Arkansas","2014","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","552738"
"Annual Survey of School System Finance","Arkansas","2015","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","581412"
"Annual Survey of School System Finance","Arkansas","2016","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","593656"
"Annual Survey of School System Finance","Arkansas","2017","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","597260"
"Annual Survey of School System Finance","Arkansas","2018","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","588862"
